key,n,p30,p45,p60,period,product,split
1100-1159,37818,0.1545295890845629,0.11158707493786028,0.08472156116135174,2024-07,dep,time_blk
1200-1259,34628,0.16226752916714798,0.11831465865773362,0.09073582072311424,2024-07,dep,time_blk
1300-1359,35911,0.1896633343543761,0.13823062571356967,0.10651332460805882,2024-07,dep,time_blk
1400-1459,34608,0.21772422561257512,0.160916551086454,0.12245723532131299,2024-07,dep,time_blk
1500-1559,34359,0.24898862015774614,0.18297971419424314,0.1401961640327134,2024-07,dep,time_blk
1600-1659,34204,0.27312595018126534,0.2064963162203251,0.16141386972283944,2024-07,dep,time_blk
1700-1759,37363,0.2979953429863769,0.2269357385648904,0.17653828654016004,2024-07,dep,time_blk
1800-1859,36754,0.32600533275289767,0.24965990096316049,0.19646841160145834,2024-07,dep,time_blk
1900-1959,34151,0.34426517525109074,0.26371116511961584,0.2055869520658253,2024-07,dep,time_blk
2000-2059,28826,0.3562408936376882,0.27378061472281967,0.21740789564976062,2024-07,dep,time_blk
2100-2159,22988,0.3502697059335305,0.2633547938054637,0.20171393770662954,2024-07,dep,time_blk
2200-2259,16288,0.34847740667976423,0.26455058939096265,0.2056114931237721,2024-07,dep,time_blk
2300-2359,6025,0.28680497925311205,0.2154356846473029,0.16132780082987552,2024-07,dep,time_blk
0-500,207776,0.19803538425997227,0.15023871862005236,0.11731383797936239,2024-07,dep,distance
501-1000,226005,0.21313245282184023,0.16102298621711908,0.12582907457799605,2024-07,dep,distance
1001-1500,95665,0.22104217843516438,0.16450112371295667,0.12742382271468145,2024-07,dep,distance
1501-3000,82957,0.2021649770362959,0.14811287775594584,0.11398676422725026,2024-07,dep,distance
3000+,1535,0.17068403908794788,0.12312703583061889,0.09771986970684039,2024-07,dep,distance
ATL,28195,0.26866465685405216,0.2093988295797127,0.1660223443873027,2024-07,dep,origin_airport
BOS,12531,0.19455749740643205,0.15122496209400688,0.1193839278589099,2024-07,dep,origin_airport
CLT,18282,0.35904168034131934,0.29280166283776393,0.23914232578492506,2024-07,dep,origin_airport
DCA,11511,0.2096255755364434,0.1658413691251846,0.13456693597428546,2024-07,dep,origin_airport
DEN,27826,0.19711780349313593,0.1432832602601883,0.10651908287213398,2024-07,dep,origin_airport
DFW,28464,0.2699901630129286,0.20359050028105677,0.15707560427206296,2024-07,dep,origin_airport
LAS,15676,0.23909160500127583,0.17108956366420006,0.12566981372799182,2024-07,dep,origin_airport
LAX,17033,0.15804614571713732,0.11436623025890917,0.08771208829918394,2024-07,dep,origin_airport
LGA,13506,0.2016881386050644,0.16007700281356435,0.13046053605804828,2024-07,dep,origin_airport
MCO,12937,0.257092061528948,0.19780474607714307,0.15567751410682537,2024-07,dep,origin_airport
MSP,11261,0.21570020424473849,0.16268537430068378,0.12476689459195453,2024-07,dep,origin_airport
ORD,23783,0.2301223563049237,0.17747971239961316,0.1392591346760291,2024-07,dep,origin_airport
PHX,15414,0.1862592448423511,0.13487738419618528,0.10172570390554042,2024-07,dep,origin_airport
SEA,15890,0.1446821900566394,0.08848332284455633,0.060541220893643805,2024-07,dep,origin_airport
SFO,11510,0.15647263249348392,0.11407471763683753,0.08818418766290183,2024-07,dep,origin_airport
9E,15796,0.2242972904532793,0.18365408964294758,0.15117751329450493,2024-07,arr,airline
AA,85707,0.2890662372968369,0.2265975941288343,0.1822021538497439,2024-07,arr,airline
